name	category_id	channel_id	use	use_2ch	use_all
'stddev_object_eccentricity_in_cell_region'	2	1	0	1	1
'coeff_variance_eccentricity_in_cell_region'	2	1	0	1	1
'max_to_min_object_eccentricity_ratio_in_cell_region'	2	1	0	1	1
'mean_object_perimeter_in_cell_region'	2	1	0	1	1
'stddev_object_perimeter_in_cell_region'	2	1	0	1	1
'coeff_variance_perimeter_in_cell_region'	2	1	0	1	1
'max_to_min_object_perimeter_ratio_in_cell_region'	2	1	0	1	1
'mean_object_majoraxislength_in_cell_region'	2	1	0	1	1
'stddev_object_majoraxislength_in_cell_region'	2	1	0	1	1
'coeff_variance_majoraxislength_in_cell_region'	2	1	0	1	1
'max_to_min_object_majoraxislength_ratio_in_cell_region'	2	1	0	1	1
'region_area_in_cell_region'	2	1	0	1	1
'region_eulernumber_in_cell_region'	2	1	0	1	1
'region_eccentricity_in_cell_region'	2	1	0	1	1
'region_solidity_in_cell_region'	2	1	0	1	1
'region_perimeter_in_cell_region'	2	1	0	1	1
'region_majoraxislength_in_cell_region'	2	1	0	1	1
'object_number_in_cell_region'	2	2	1	0	1
'mean_object_area_in_cell_region'	2	2	1	0	1
'stddev_object_area_in_cell_region'	2	2	1	0	1
'coeff_variance_area_in_cell_region'	2	2	1	0	1
'max_to_min_object_area_ratio_in_cell_region'	2	2	1	0	1
'mean_object_eccentricity_in_cell_region'	2	2	1	0	1
'stddev_object_eccentricity_in_cell_region'	2	2	1	0	1
'coeff_variance_eccentricity_in_cell_region'	2	2	1	0	1
'max_to_min_object_eccentricity_ratio_in_cell_region'	2	2	1	0	1
'mean_object_perimeter_in_cell_region'	2	2	1	0	1
'stddev_object_perimeter_in_cell_region'	2	2	1	0	1
'coeff_variance_perimeter_in_cell_region'	2	2	1	0	1
'max_to_min_object_perimeter_ratio_in_cell_region'	2	2	1	0	1
'mean_object_majoraxislength_in_cell_region'	2	2	1	0	1
'stddev_object_majoraxislength_in_cell_region'	2	2	1	0	1
'coeff_variance_majoraxislength_in_cell_region'	2	2	1	0	1
'max_to_min_object_majoraxislength_ratio_in_cell_region'	2	2	1	0	1
'region_area_in_cell_region'	2	2	1	0	1
'region_eulernumber_in_cell_region'	2	2	1	0	1
'region_eccentricity_in_cell_region'	2	2	1	0	1
'region_solidity_in_cell_region'	2	2	1	0	1
'region_perimeter_in_cell_region'	2	2	1	0	1
'region_majoraxislength_in_cell_region'	2	2	1	0	1
'object_number_in_cell_region'	2	3	0	1	1
'mean_object_area_in_cell_region'	2	3	0	1	1
'stddev_object_area_in_cell_region'	2	3	0	1	1
'coeff_variance_area_in_cell_region'	2	3	0	1	1
'max_to_min_object_area_ratio_in_cell_region'	2	3	0	1	1
'mean_object_eccentricity_in_cell_region'	2	3	0	1	1
'stddev_object_eccentricity_in_cell_region'	2	3	0	1	1
'coeff_variance_eccentricity_in_cell_region'	2	3	0	1	1
'max_to_min_object_eccentricity_ratio_in_cell_region'	2	3	0	1	1
'mean_object_perimeter_in_cell_region'	2	3	0	1	1
'stddev_object_perimeter_in_cell_region'	2	3	0	1	1
'coeff_variance_perimeter_in_cell_region'	2	3	0	1	1
'max_to_min_object_perimeter_ratio_in_cell_region'	2	3	0	1	1
'mean_object_majoraxislength_in_cell_region'	2	3	0	1	1
'stddev_object_majoraxislength_in_cell_region'	2	3	0	1	1
'coeff_variance_majoraxislength_in_cell_region'	2	3	0	1	1
'max_to_min_object_majoraxislength_ratio_in_cell_region'	2	3	0	1	1
'region_area_in_cell_region'	2	3	0	1	1
'region_eulernumber_in_cell_region'	2	3	0	1	1
'region_eccentricity_in_cell_region'	2	3	0	1	1
'region_solidity_in_cell_region'	2	3	0	1	1
'region_perimeter_in_cell_region'	2	3	0	1	1
'region_majoraxislength_in_cell_region'	2	3	0	1	1
'object_number_in_dna_region'	2	1	0	1	1
'mean_object_area_in_dna_region'	2	1	0	1	1
'stddev_object_area_in_dna_region'	2	1	0	1	1
'coeff_variance_area_in_dna_region'	2	1	0	1	1
'max_to_min_object_area_ratio_in_dna_region'	2	1	0	1	1
'mean_object_eccentricity_in_dna_region'	2	1	0	1	1
'stddev_object_eccentricity_in_dna_region'	2	1	0	1	1
'coeff_variance_eccentricity_in_dna_region'	2	1	0	1	1
'max_to_min_object_eccentricity_ratio_in_dna_region'	2	1	0	1	1
'mean_object_perimeter_in_dna_region'	2	1	0	1	1
'stddev_object_perimeter_in_dna_region'	2	1	0	1	1
'coeff_variance_perimeter_in_dna_region'	2	1	0	1	1
'max_to_min_object_perimeter_ratio_in_dna_region'	2	1	0	1	1
'mean_object_majoraxislength_in_dna_region'	2	1	0	1	1
'stddev_object_majoraxislength_in_dna_region'	2	1	0	1	1
'coeff_variance_majoraxislength_in_dna_region'	2	1	0	1	1
'max_to_min_object_majoraxislength_ratio_in_dna_region'	2	1	0	1	1
'region_area_in_dna_region'	2	1	0	1	1
'region_eulernumber_in_dna_region'	2	1	0	1	1
'region_eccentricity_in_dna_region'	2	1	0	1	1
'region_solidity_in_dna_region'	2	1	0	1	1
'region_perimeter_in_dna_region'	2	1	0	1	1
'region_majoraxislength_in_dna_region'	2	1	0	1	1
'object_number_in_dna_region'	2	2	1	0	1
'mean_object_area_in_dna_region'	2	2	1	0	1
'stddev_object_area_in_dna_region'	2	2	1	0	1
'coeff_variance_area_in_dna_region'	2	2	1	0	1
'max_to_min_object_area_ratio_in_dna_region'	2	2	1	0	1
'mean_object_eccentricity_in_dna_region'	2	2	1	0	1
'stddev_object_eccentricity_in_dna_region'	2	2	1	0	1
'coeff_variance_eccentricity_in_dna_region'	2	2	1	0	1
'max_to_min_object_eccentricity_ratio_in_dna_region'	2	2	1	0	1
'mean_object_perimeter_in_dna_region'	2	2	1	0	1
'stddev_object_perimeter_in_dna_region'	2	2	1	0	1
'coeff_variance_perimeter_in_dna_region'	2	2	1	0	1
'max_to_min_object_perimeter_ratio_in_dna_region'	2	2	1	0	1
'mean_object_majoraxislength_in_dna_region'	2	2	1	0	1
'stddev_object_majoraxislength_in_dna_region'	2	2	1	0	1
'coeff_variance_majoraxislength_in_dna_region'	2	2	1	0	1
'max_to_min_object_majoraxislength_ratio_in_dna_region'	2	2	1	0	1
'region_area_in_dna_region'	2	2	1	0	1
'region_eulernumber_in_dna_region'	2	2	1	0	1
'region_eccentricity_in_dna_region'	2	2	1	0	1
'region_solidity_in_dna_region'	2	2	1	0	1
'region_perimeter_in_dna_region'	2	2	1	0	1
'region_majoraxislength_in_dna_region'	2	2	1	0	1
'object_number_in_dna_region'	2	3	0	1	1
'mean_object_area_in_dna_region'	2	3	0	1	1
'stddev_object_area_in_dna_region'	2	3	0	1	1
'coeff_variance_area_in_dna_region'	2	3	0	1	1
'max_to_min_object_area_ratio_in_dna_region'	2	3	0	1	1
'mean_object_eccentricity_in_dna_region'	2	3	0	1	1
'stddev_object_eccentricity_in_dna_region'	2	3	0	1	1
'coeff_variance_eccentricity_in_dna_region'	2	3	0	1	1
'max_to_min_object_eccentricity_ratio_in_dna_region'	2	3	0	1	1
'mean_object_perimeter_in_dna_region'	2	3	0	1	1
'stddev_object_perimeter_in_dna_region'	2	3	0	1	1
'coeff_variance_perimeter_in_dna_region'	2	3	0	1	1
'max_to_min_object_perimeter_ratio_in_dna_region'	2	3	0	1	1
'mean_object_majoraxislength_in_dna_region'	2	3	0	1	1
'stddev_object_majoraxislength_in_dna_region'	2	3	0	1	1
'coeff_variance_majoraxislength_in_dna_region'	2	3	0	1	1
'max_to_min_object_majoraxislength_ratio_in_dna_region'	2	3	0	1	1
'region_area_in_dna_region'	2	3	0	1	1
'region_eulernumber_in_dna_region'	2	3	0	1	1
'region_eccentricity_in_dna_region'	2	3	0	1	1
'region_solidity_in_dna_region'	2	3	0	1	1
'region_perimeter_in_dna_region'	2	3	0	1	1
'region_majoraxislength_in_dna_region'	2	3	0	1	1
'object_number_in_non_dna_region'	2	1	0	1	1
'mean_object_area_in_non_dna_region'	2	1	0	1	1
'stddev_object_area_in_non_dna_region'	2	1	0	1	1
'coeff_variance_area_in_non_dna_region'	2	1	0	1	1
'max_to_min_object_area_ratio_in_non_dna_region'	2	1	0	1	1
'mean_object_eccentricity_in_non_dna_region'	2	1	0	1	1
'stddev_object_eccentricity_in_non_dna_region'	2	1	0	1	1
'coeff_variance_eccentricity_in_non_dna_region'	2	1	0	1	1
'max_to_min_object_eccentricity_ratio_in_non_dna_region'	2	1	0	1	1
'mean_object_perimeter_in_non_dna_region'	2	1	0	1	1
'stddev_object_perimeter_in_non_dna_region'	2	1	0	1	1
'coeff_variance_perimeter_in_non_dna_region'	2	1	0	1	1
'max_to_min_object_perimeter_ratio_in_non_dna_region'	2	1	0	1	1
'mean_object_majoraxislength_in_non_dna_region'	2	1	0	1	1
'stddev_object_majoraxislength_in_non_dna_region'	2	1	0	1	1
'coeff_variance_majoraxislength_in_non_dna_region'	2	1	0	1	1
'max_to_min_object_majoraxislength_ratio_in_non_dna_region'	2	1	0	1	1
'region_area_in_non_dna_region'	2	1	0	1	1
'region_eulernumber_in_non_dna_region'	2	1	0	1	1
'region_eccentricity_in_non_dna_region'	2	1	0	1	1
'region_solidity_in_non_dna_region'	2	1	0	1	1
'region_perimeter_in_non_dna_region'	2	1	0	1	1
'region_majoraxislength_in_non_dna_region'	2	1	0	1	1
'object_number_in_non_dna_region'	2	2	1	0	1
'mean_object_area_in_non_dna_region'	2	2	1	0	1
'stddev_object_area_in_non_dna_region'	2	2	1	0	1
'coeff_variance_area_in_non_dna_region'	2	2	1	0	1
'max_to_min_object_area_ratio_in_non_dna_region'	2	2	1	0	1
'mean_object_eccentricity_in_non_dna_region'	2	2	1	0	1
'stddev_object_eccentricity_in_non_dna_region'	2	2	1	0	1
'coeff_variance_eccentricity_in_non_dna_region'	2	2	1	0	1
'max_to_min_object_eccentricity_ratio_in_non_dna_region'	2	2	1	0	1
'mean_object_perimeter_in_non_dna_region'	2	2	1	0	1
'stddev_object_perimeter_in_non_dna_region'	2	2	1	0	1
'coeff_variance_perimeter_in_non_dna_region'	2	2	1	0	1
'max_to_min_object_perimeter_ratio_in_non_dna_region'	2	2	1	0	1
'mean_object_majoraxislength_in_non_dna_region'	2	2	1	0	1
'stddev_object_majoraxislength_in_non_dna_region'	2	2	1	0	1
'coeff_variance_majoraxislength_in_non_dna_region'	2	2	1	0	1
'max_to_min_object_majoraxislength_ratio_in_non_dna_region'	2	2	1	0	1
'region_area_in_non_dna_region'	2	2	1	0	1
'region_eulernumber_in_non_dna_region'	2	2	1	0	1
'region_eccentricity_in_non_dna_region'	2	2	1	0	1
'region_solidity_in_non_dna_region'	2	2	1	0	1
'region_perimeter_in_non_dna_region'	2	2	1	0	1
'region_majoraxislength_in_non_dna_region'	2	2	1	0	1
'object_number_in_non_dna_region'	2	3	0	1	1
'mean_object_area_in_non_dna_region'	2	3	0	1	1
'stddev_object_area_in_non_dna_region'	2	3	0	1	1
'coeff_variance_area_in_non_dna_region'	2	3	0	1	1
'max_to_min_object_area_ratio_in_non_dna_region'	2	3	0	1	1
'mean_object_eccentricity_in_non_dna_region'	2	3	0	1	1
'stddev_object_eccentricity_in_non_dna_region'	2	3	0	1	1
'coeff_variance_eccentricity_in_non_dna_region'	2	3	0	1	1
'max_to_min_object_eccentricity_ratio_in_non_dna_region'	2	3	0	1	1
'mean_object_perimeter_in_non_dna_region'	2	3	0	1	1
'stddev_object_perimeter_in_non_dna_region'	2	3	0	1	1
'coeff_variance_perimeter_in_non_dna_region'	2	3	0	1	1
'max_to_min_object_perimeter_ratio_in_non_dna_region'	2	3	0	1	1
'mean_object_majoraxislength_in_non_dna_region'	2	3	0	1	1
'stddev_object_majoraxislength_in_non_dna_region'	2	3	0	1	1
'coeff_variance_majoraxislength_in_non_dna_region'	2	3	0	1	1
'max_to_min_object_majoraxislength_ratio_in_non_dna_region'	2	3	0	1	1
'region_area_in_non_dna_region'	2	3	0	1	1
'region_eulernumber_in_non_dna_region'	2	3	0	1	1
'region_eccentricity_in_non_dna_region'	2	3	0	1	1
'region_solidity_in_non_dna_region'	2	3	0	1	1
'region_perimeter_in_non_dna_region'	2	3	0	1	1
'region_majoraxislength_in_non_dna_region'	2	3	0	1	1
'ratio_of_object_number_in_dna_region_to_object_number_in_non_dna_region'	2	"[1,1]"	0	1	1
'ratio_of_mean_object_area_in_dna_region_to_mean_object_area_in_non_dna_region'	2	"[1,1]"	0	1	1
'ratio_of_stddev_object_area_in_dna_region_to_stddev_object_area_in_non_dna_region'	2	"[1,1]"	0	1	1
'ratio_of_coeff_variance_area_in_dna_region_to_coeff_variance_area_in_non_dna_region'	2	"[1,1]"	0	1	1
'ratio_of_max_to_min_object_area_ratio_in_dna_region_to_max_to_min_object_area_ratio_in_non_dna_region'	2	"[1,1]"	0	1	1
'ratio_of_mean_object_eccentricity_in_dna_region_to_mean_object_eccentricity_in_non_dna_region'	2	"[1,1]"	0	1	1
'ratio_of_stddev_object_eccentricity_in_dna_region_to_stddev_object_eccentricity_in_non_dna_region'	2	"[1,1]"	0	1	1
'ratio_of_coeff_variance_eccentricity_in_dna_region_to_coeff_variance_eccentricity_in_non_dna_region'	2	"[1,1]"	0	1	1
'ratio_of_max_to_min_object_eccentricity_ratio_in_dna_region_to_max_to_min_object_eccentricity_ratio_in_non_dna_region'	2	"[1,1]"	0	1	1
'ratio_of_mean_object_perimeter_in_dna_region_to_mean_object_perimeter_in_non_dna_region'	2	"[1,1]"	0	1	1
'ratio_of_stddev_object_perimeter_in_dna_region_to_stddev_object_perimeter_in_non_dna_region'	2	"[1,1]"	0	1	1
'ratio_of_coeff_variance_perimeter_in_dna_region_to_coeff_variance_perimeter_in_non_dna_region'	2	"[1,1]"	0	1	1
'ratio_of_max_to_min_object_perimeter_ratio_in_dna_region_to_max_to_min_object_perimeter_ratio_in_non_dna_region'	2	"[1,1]"	0	1	1
'ratio_of_mean_object_majoraxislength_in_dna_region_to_mean_object_majoraxislength_in_non_dna_region'	2	"[1,1]"	0	1	1
'ratio_of_stddev_object_majoraxislength_in_dna_region_to_stddev_object_majoraxislength_in_non_dna_region'	2	"[1,1]"	0	1	1
'ratio_of_coeff_variance_majoraxislength_in_dna_region_to_coeff_variance_majoraxislength_in_non_dna_region'	2	"[1,1]"	0	1	1
'ratio_of_max_to_min_object_majoraxislength_ratio_in_dna_region_to_max_to_min_object_majoraxislength_ratio_in_non_dna_region'	2	"[1,1]"	0	1	1
'ratio_of_region_area_in_dna_region_to_region_area_in_non_dna_region'	2	"[1,1]"	0	1	1
'ratio_of_region_eulernumber_in_dna_region_to_region_eulernumber_in_non_dna_region'	2	"[1,1]"	0	1	1
'ratio_of_region_eccentricity_in_dna_region_to_region_eccentricity_in_non_dna_region'	2	"[1,1]"	0	1	1
'ratio_of_region_solidity_in_dna_region_to_region_solidity_in_non_dna_region'	2	"[1,1]"	0	1	1
'ratio_of_region_perimeter_in_dna_region_to_region_perimeter_in_non_dna_region'	2	"[1,1]"	0	1	1
'ratio_of_region_majoraxislength_in_dna_region_to_region_majoraxislength_in_non_dna_region'	2	"[1,1]"	0	1	1
'ratio_of_object_number_in_dna_region_to_object_number_in_non_dna_region'	2	"[2,2]"	1	0	1
'ratio_of_mean_object_area_in_dna_region_to_mean_object_area_in_non_dna_region'	2	"[2,2]"	1	0	1
'ratio_of_stddev_object_area_in_dna_region_to_stddev_object_area_in_non_dna_region'	2	"[2,2]"	1	0	1
'ratio_of_coeff_variance_area_in_dna_region_to_coeff_variance_area_in_non_dna_region'	2	"[2,2]"	1	0	1
'ratio_of_max_to_min_object_area_ratio_in_dna_region_to_max_to_min_object_area_ratio_in_non_dna_region'	2	"[2,2]"	1	0	1
'ratio_of_mean_object_eccentricity_in_dna_region_to_mean_object_eccentricity_in_non_dna_region'	2	"[2,2]"	1	0	1
'ratio_of_stddev_object_eccentricity_in_dna_region_to_stddev_object_eccentricity_in_non_dna_region'	2	"[2,2]"	1	0	1
'ratio_of_coeff_variance_eccentricity_in_dna_region_to_coeff_variance_eccentricity_in_non_dna_region'	2	"[2,2]"	1	0	1
'ratio_of_max_to_min_object_eccentricity_ratio_in_dna_region_to_max_to_min_object_eccentricity_ratio_in_non_dna_region'	2	"[2,2]"	1	0	1
'ratio_of_mean_object_perimeter_in_dna_region_to_mean_object_perimeter_in_non_dna_region'	2	"[2,2]"	1	0	1
'ratio_of_stddev_object_perimeter_in_dna_region_to_stddev_object_perimeter_in_non_dna_region'	2	"[2,2]"	1	0	1
'ratio_of_coeff_variance_perimeter_in_dna_region_to_coeff_variance_perimeter_in_non_dna_region'	2	"[2,2]"	1	0	1
'ratio_of_max_to_min_object_perimeter_ratio_in_dna_region_to_max_to_min_object_perimeter_ratio_in_non_dna_region'	2	"[2,2]"	1	0	1
'ratio_of_mean_object_majoraxislength_in_dna_region_to_mean_object_majoraxislength_in_non_dna_region'	2	"[2,2]"	1	0	1
'ratio_of_stddev_object_majoraxislength_in_dna_region_to_stddev_object_majoraxislength_in_non_dna_region'	2	"[2,2]"	1	0	1
'ratio_of_coeff_variance_majoraxislength_in_dna_region_to_coeff_variance_majoraxislength_in_non_dna_region'	2	"[2,2]"	1	0	1
'ratio_of_max_to_min_object_majoraxislength_ratio_in_dna_region_to_max_to_min_object_majoraxislength_ratio_in_non_dna_region'	2	"[2,2]"	1	0	1
'ratio_of_region_area_in_dna_region_to_region_area_in_non_dna_region'	2	"[2,2]"	1	0	1
'ratio_of_region_eulernumber_in_dna_region_to_region_eulernumber_in_non_dna_region'	2	"[2,2]"	1	0	1
'ratio_of_region_eccentricity_in_dna_region_to_region_eccentricity_in_non_dna_region'	2	"[2,2]"	1	0	1
'ratio_of_region_solidity_in_dna_region_to_region_solidity_in_non_dna_region'	2	"[2,2]"	1	0	1
'ratio_of_region_perimeter_in_dna_region_to_region_perimeter_in_non_dna_region'	2	"[2,2]"	1	0	1
'ratio_of_region_majoraxislength_in_dna_region_to_region_majoraxislength_in_non_dna_region'	2	"[2,2]"	1	0	1
'ratio_of_object_number_in_dna_region_to_object_number_in_non_dna_region'	2	"[3,3]"	0	1	1
'ratio_of_mean_object_area_in_dna_region_to_mean_object_area_in_non_dna_region'	2	"[3,3]"	0	1	1
'ratio_of_stddev_object_area_in_dna_region_to_stddev_object_area_in_non_dna_region'	2	"[3,3]"	0	1	1
'ratio_of_coeff_variance_area_in_dna_region_to_coeff_variance_area_in_non_dna_region'	2	"[3,3]"	0	1	1
'ratio_of_max_to_min_object_area_ratio_in_dna_region_to_max_to_min_object_area_ratio_in_non_dna_region'	2	"[3,3]"	0	1	1
'ratio_of_mean_object_eccentricity_in_dna_region_to_mean_object_eccentricity_in_non_dna_region'	2	"[3,3]"	0	1	1
'ratio_of_stddev_object_eccentricity_in_dna_region_to_stddev_object_eccentricity_in_non_dna_region'	2	"[3,3]"	0	1	1
'ratio_of_coeff_variance_eccentricity_in_dna_region_to_coeff_variance_eccentricity_in_non_dna_region'	2	"[3,3]"	0	1	1
'ratio_of_max_to_min_object_eccentricity_ratio_in_dna_region_to_max_to_min_object_eccentricity_ratio_in_non_dna_region'	2	"[3,3]"	0	1	1
'ratio_of_mean_object_perimeter_in_dna_region_to_mean_object_perimeter_in_non_dna_region'	2	"[3,3]"	0	1	1
'ratio_of_stddev_object_perimeter_in_dna_region_to_stddev_object_perimeter_in_non_dna_region'	2	"[3,3]"	0	1	1
'ratio_of_coeff_variance_perimeter_in_dna_region_to_coeff_variance_perimeter_in_non_dna_region'	2	"[3,3]"	0	1	1
'ratio_of_max_to_min_object_perimeter_ratio_in_dna_region_to_max_to_min_object_perimeter_ratio_in_non_dna_region'	2	"[3,3]"	0	1	1
'ratio_of_mean_object_majoraxislength_in_dna_region_to_mean_object_majoraxislength_in_non_dna_region'	2	"[3,3]"	0	1	1
'ratio_of_stddev_object_majoraxislength_in_dna_region_to_stddev_object_majoraxislength_in_non_dna_region'	2	"[3,3]"	0	1	1
'ratio_of_coeff_variance_majoraxislength_in_dna_region_to_coeff_variance_majoraxislength_in_non_dna_region'	2	"[3,3]"	0	1	1
'ratio_of_max_to_min_object_majoraxislength_ratio_in_dna_region_to_max_to_min_object_majoraxislength_ratio_in_non_dna_region'	2	"[3,3]"	0	1	1
'ratio_of_region_area_in_dna_region_to_region_area_in_non_dna_region'	2	"[3,3]"	0	1	1
'ratio_of_region_eulernumber_in_dna_region_to_region_eulernumber_in_non_dna_region'	2	"[3,3]"	0	1	1
'ratio_of_region_eccentricity_in_dna_region_to_region_eccentricity_in_non_dna_region'	2	"[3,3]"	0	1	1
'ratio_of_region_solidity_in_dna_region_to_region_solidity_in_non_dna_region'	2	"[3,3]"	0	1	1
'ratio_of_region_perimeter_in_dna_region_to_region_perimeter_in_non_dna_region'	2	"[3,3]"	0	1	1
'ratio_of_region_majoraxislength_in_dna_region_to_region_majoraxislength_in_non_dna_region'	2	"[3,3]"	0	1	1
'distance_between_binary_centroid_and_intensity_centroid'	3	1	0	1	1
'distance_between_binary_centroid_and_cell_mask_centroid'	3	1	0	1	1
'distance_between_intensity_centroid_and_cell_mask_centroid'	3	1	0	1	1
'distance_between_binary_centroid_and_dna_mask_centroid'	3	1	0	1	1
'distance_between_intensity_centroid_and_dna_mask_centroid'	3	1	0	1	1
'distance_between_binary_centroid_and_intensity_centroid'	3	2	1	0	1
'distance_between_binary_centroid_and_cell_mask_centroid'	3	2	1	0	1
'distance_between_intensity_centroid_and_cell_mask_centroid'	3	2	1	0	1
'distance_between_binary_centroid_and_dna_mask_centroid'	3	2	1	0	1
'distance_between_intensity_centroid_and_dna_mask_centroid'	3	2	1	0	1
'distance_between_binary_centroid_and_intensity_centroid'	3	3	0	1	1
'distance_between_binary_centroid_and_cell_mask_centroid'	3	3	0	1	1
'distance_between_intensity_centroid_and_cell_mask_centroid'	3	3	0	1	1
'distance_between_binary_centroid_and_dna_mask_centroid'	3	3	0	1	1
'distance_between_intensity_centroid_and_dna_mask_centroid'	3	3	0	1	1
'distance_between_intensity_centroid_and_intensity_centroid'	3	"[1,2]"	0	0	1
'distance_between_intensity_centroid_and_intensity_centroid'	3	"[1,3]"	0	1	1
'distance_between_intensity_centroid_and_intensity_centroid'	3	"[2,3]"	0	0	1
'zernike_0-0'	4	1	0	1	1
'zernike_1-1'	4	1	0	1	1
'zernike_2-0'	4	1	0	1	1
'zernike_2-2'	4	1	0	1	1
'zernike_3-1'	4	1	0	1	1
'zernike_3-3'	4	1	0	1	1
'zernike_4-0'	4	1	0	1	1
'zernike_4-2'	4	1	0	1	1
'zernike_4-4'	4	1	0	1	1
'zernike_5-1'	4	1	0	1	1
'zernike_5-3'	4	1	0	1	1
